ItemName;Ingredients;Allergens;LocalIngredients;Diet;nutritionLabel;LeaveEmpty
Apple Turnover;Apple Filling  / Enriched Wheat Flour / Butter / Whole Eggs / Cinnamon / Salt;Wheat, soy. May contain milk, eggs, and tree nuts.;NA;VEG;Apple_Turnover;
Chocolate Chip Cookie;Semi-Sweet Chocolate Chips / Wheat Flour / Eggs / Margarine / Sugar / Salt / Vanilla;Wheat, eggs, milk, soy. May contain peanuts, tree nuts, sulphites, tartrazine.;NA;VEG;Chocolate_Chip_Cookie;
Double Chocolate Cookie;Semi-Sweet Chocolate Chips / Wheat Flour / Cocoa Powder /  Eggs / Margarine / Sugar / Salt / Vanilla;Wheat, gluten, milk, eggs, soy. May contain peanuts, tree nuts, crustacean, sulphites.;NA;VEG;Double_Chocolate_Cookie;
Double Chocolate White Chip Cookie;White Chocolate Chunks / Wheat Flour / Cocoa Powder /  Eggs / Margarine / Sugar / Salt / Vanilla;Wheat, eggs, milk, soy. May contain peanuts, tree nuts, sulphites, tartrazine.;NA;VEG;Double_Chocolate_White_Chip_Cookie;
White Chocolate Macadamia Cookie;White Chocolate Chunks / Wheat Flour / Macadamia Nuts / Eggs / Margarine / Sugar / Salt / Vanilla;Wheat, macadamia nuts, eggs, milk, soy. May contain peanuts, other tree nuts, sulphites, tartrazine.;NA;VEG;White_Chocolate_Macadamia_Cookie;
Oatmeal Raisin Cookie;Wheat Flour / Oats / Raisins /  Eggs / Margarine / Sugar / Salt / Vanilla;Wheat, eggs, milk, soy. May contain peanuts, tree nuts, sulphites.;NA;VEG;Oatmeal_Raisin_Cookie;
GF Chocolate Almond Cookie;Semi-Sweet Chocolate Chunks / Rice Flour / Potato Starch / Butter / Eggs / Sugar / Salt / Vanilla;Eggs, milk, soy. May contain peanuts, tree nuts, sulphites;Trump Food GF Almond Cookie;BC,VEG;GF_Chocolate_Almond_Cookie;
Muffin Varieties;Item will vary daily - find information in the cafeteria.;Item will vary daily - find information in the cafeteria.;NA;NA;placeholder;
 GF Blueberry Muffin;Blueberries / Lemon / Rice Flour / Potato Starch / Eggs / Sugar / Oil / Salt;Milk, eggs, soy.;NA;VEG;GF_Blueberry_Muffin;
Banana Bread;Bananas / Wheat Flour / Chocolate Chips / Eggs / Sugar / Cinnamon / Vanilla;Wheat, gluten, milk, eggs, soy.;Trump Food Banana Loaf;BC,VEG;Banana_Bread;
Peanut Butter Brownie;Peanut Butter /  Enriched Flour /  Margarine / White Chocolate / Chocolate / Skim Milk Powder / Whole Eggs /  Peanuts / Sugar;Wheat, milk, eggs, soy, peanuts. May contain treenuts, sulphites.;NA;VEG;Peanut_Butter_Brownie;
Cherry Danish;Flaky Pastry / Greek Yogurt Cream Cheese Filling / Cherry Wheat, milk, eggs, soy. ;Wheat, milk, eggs, soy.;NA;VEG;Cherry_Danish;
Maple Lattice Danish;Flaky Pastry / Maple Brown Sugar Filling / Butter / Pecans;Wheat,  gluten, milk, eggs, soy, pecans. May contain peanuts.;NA;VEG;Maple_Lattice_Danish;
Spinach Lattice Danish;Flaky Pastry / Spinach and Feta Filling ;Wheat, milk, eggs, soy.;NA;VEG;Spinach_Lattice_Danish;
Cinnamon Bun;Yeasted Dough / Butter Cinnamon Filling;Eggs, milk, soya, wheat, barley. May contain peanuts, tree nuts.;NA;VEG;Cinnamon_Bun;
Croissant;Flaky Butter Pastry;Wheat, milk, eggs, soy.;NA;VEG;Croissant;
Chocolate Croissant;Flaky Butter Pastry /  Semi-Sweet Chocolate / Sugar;Wheat, milk, eggs, soy.;NA;VEG;Chocolate_Croissant;
Ham & Cheese Croissant;Flaky Butter Pastry /  Black Forest Ham / Cheddar Cheese;Wheat, milk, eggs, soy, sulphites.;NA;NA;Ham_&_Cheese_Croissant;
Scone Varieties;Item will vary daily - find information in the cafeteria.;Wheat, milk, eggs, soy. May contain peanuts.;Monte Cristo Bakery Scones;BC,VEG;placeholder;
Tofu Scramble Roll;Flaky Pastry / Tofu Scramble / Spices;Wheat, soy.;Maureen's Tofu Roll;BC,VGN,DF;Tofu_Scramble_Roll;
Beef Sausage Roll;Flaky Pastry / Ground Beef Sausage / Spices;Wheat, soy.;NA;DF;Beef_Sausage_Roll;
Beef Samosa;Pastry / Beef / Peas / Carrots / Onion / Potatoes;Wheat, sulphites.;Nana's Kitchen Beef Samosa;BC,DF;Beef_Samosa;
Vegetarian Samosa;Pastry / Peas / Carrots / Onion / Potatoes;Wheat, sulphites.;Nana's Kitchen Vegetarian Samosa;BC,DF,VEG;Vegetarian_Samosa;
