Name;Address;Coordinates;Ingredients;Description;ImageName;ImageDescription;WebLink
Fredrich's Honey;2798 Cedar Rd, Nanaimo, BC V9X 1K3;49.07165750847422, -123.83754618831776;Honey;Located in the picturesque Cedar, British Columbia, just 20 minutes south of Nanaimo, the Fredrich's Honey farm passed down through the generations.  From the materials we use to construct our hives, to the methods we employ to care for our bees, every aspect of our operation is designed to promote the health and well-being of our bees.;fredrichs;beekeepers in field with hives and forklift;https://www.fredrichshoney.com/
Saltspring Coffee;3551 Viking Way #105, Richmond, BC V6V 1W1;49.189482143334224, -123.07412909739087;Coffee, Hot  Chocolate;Mickey McLeod and Robbyn Scott founded Salt Spring Coffee in 1996 with the desire to create a business that would positively impact people and the planet. Over two decades later, Salt Spring Coffee is still owned and operated by the same husband and wife team, and is committed to its mission of changing the world through coffee.;saltspringcoffee;saltspring coffee founders Robbyn Scott and Mickey McLeod;http://www.saltspringcoffee.com/
Nesvog Meats & Sausage Co.;1533 Estevan Rd Suite 2, Nanaimo, BC V9S 3Y3;49.185111737536715, -123.95668370907738;Salami, Chicken and Beef Kebabs;Serving Vancouver Island, the Gulf Islands & beyond… Nesvog Meats is a family owned & operated meat/butcher & deli, with 2 locales, serving Vancouver Island, the Gulf Island… and communities beyond. Voted #1 Best in the City for meat and deli.;nesvogs;An assortment of uncooked marinated meat skewers.;https://www.nesvogmeats.ca/
Fresh Start Foods;#110 - 11188 Featherstone Way, Richmond, British Columbia, V6W 1K9;49.13307214755057, -123.08961931500245;Cucumbers, Tomatoes, Beets, Greens, Fruit, Herbs, Onions, Ginger ;The Finest Fresh Produce Supplier in Canada for quality assured Wholesale Fruits and Vegetables, & other specialty products from coast to coast.;freshstartfoods;Pink and green triangle slices of watermelon;https://www.freshstartfoods.com/
Island City Baking Co.;12753 Vulcan Way, Richmond, BC V6V 3C8;49.19866316549283, -123.08087173639568;Multigrain Bread, White Bread;Island City Baking offers the very best in Quality, Service and Selection. Our team of bakers continuously search for new Artisan produced breads that please our customers and make us proud.;islandcitybaking;several varieties of bread in an arrangement;https://www.islandcitybaking.com/
Castle Cheese Inc.;1834 Shuswap Ave, Lumby, BC V0E 2G0;50.24505369459158, -118.96621843888752;Cheddar, Parmesan Cheese;Castle Cheese (West) Inc was founded in 1997. The company's line of business includes manufacturing natural cheese, processed cheese, cheese foods, cheese spreads, and cheese analogs.;castlecheese;white cheddar cheese batons and cherry tomatoes on a grey slate;https://lumbyhealthcentre.org/castle-cheese-west-inc/
Evergreen Herbs;3727 184 St, Surrey, BC V3Z 1B8;49.07004145759097, -122.71425362835836;Kale, Mint;In 1996, two brothers decided to start a company with a small patch of their father's farm and an office in a garage. Today, it is a highly successful, sustainable business that leads the way in local farming.;evergreenherbs;A large field of squash plants with a tractor and some workers ;https://evergreenherbs.com/
Angel Seafoods; 8475 Fraser St, Vancouver, BC V5X 3Y1;49.207580343402974, -123.09166890029583;Unagi Sauce;Across the Lower Mainland and throughout Canada, Angel Seafoods strives to provide the highest quality seafood and groceries, excellent personalized customer service, and a unique and diverse range of products and brands.;angelseafoods;outside of the angel seafoods warehouse building;http://www.angelseafoods.com/
BCfresh;7330 Churchill St, Delta, BC V4K 0B4;49.08232817426927, -123.0196828310943;Cabbage, Carrots, Potatoes, Squash;BCfresh is the premier provider of locally-grown vegetables found on plates across Western Canada and the United States. As a 100% grower-owned and operated company, our focus is delivering fresh produce to you. From 60+ family farms throughout the Fraser Valley, select BC regions and premier growing areas across North America, BCfresh is a year-round supplier of the very best fresh veggies.;bcfresh;green tractor in field of flowering potato plants with mountains and clouds in the background;https://bcfresh.ca/
Golden Valley;3841 Vanderpol Ct, Abbotsford, BC V2T 5W5;49.07234015045161, -122.38497402537526;Eggs;Based in Abbotsford, British Columbia, Golden Valley has led in the production and marketing of regular shell eggs and development of specialty eggs that today's consumer demands.;goldenvalley;two dozen regular golden valley eggs;http://www.goldenvalley.com/
